,wallet,buy_amount,sell_amount,buy_volume,sell_volume,buy_times,sell_times,profit,profit_rate
173,0x5596c872bd09b9e1609eae70466d5653f0bbb0d1,5233.851459946346,5213.108318934553,402.60009830298515,434.10897998108925,18,8,31.7461988117805,0.07885293358246831
174,0xd0de00fb3484729d4daec2cd4a1961cf8e000092,315.19306918128456,283.67999999999995,6.025395843421371,37.21531765841009,1,1,31.550455026771687,5.236246023772697
175,0xab63fa0b1525930d70eb0d3283227b031dd076d5,0.0,108.62952464461146,0.0,31.41305120275021,0,1,31.41305120275021,0.0
176,0x646a2b2ec36fe4ebb48537b09bd5544d690ab91d,115.87248229970398,140.40842292006917,9.04176897744561,40.21652517780985,1,2,31.17475620036424,3.4478602890793413
177,0x5eb5d4f558df7355b4cd5fef13fbd417bdad07a6,367.1657594820225,337.855,32.94275427004407,63.10415903969567,2,2,30.496741902161922,0.9257496095247146
178,0xce515208f3a9374068b4fbb690c085701ef4b224,288.0536567724712,259.05499999999995,6.025395843421371,36.02966188872368,1,1,30.336032488089167,5.034695358846932
179,0x75f9e77f594bf95c123c10e32aa45f17581da7e5,499.4796502985912,516.2760910579228,208.10993449023388,238.44142490828128,4,5,30.331490418047387,0.14574744109330723
180,0xd0fe1309b6c214a0f9f15e2fbd0ad13662c94fbe,427.41363809366396,515.585,3.162856816265018,33.458400397750836,1,2,30.295543581485816,9.578537803447418
181,0x3aac8ebaf9e88291dfc5bdc9c14e437a19686ad6,156.49408441499864,141.04420593112792,6.025640782128896,35.62255783578254,1,3,29.77367528305373,4.941163331766768
182,0x82686b81fc37f00edfb0df25f05dec3b6fe576d6,294.4999360884629,264.965,6.025395843421371,35.05880362424135,1,1,29.37130966230673,4.874585906978182
183,0x958bf637c713ef2c20f4424c5f6336587238a1f8,1596.7662427293192,1570.1228129300407,75.51919412046468,104.37891453265172,3,3,29.164541287081466,0.3861871359559208
184,0x951ee450d60e2f5ac904137a4da353caaf3216d6,68.67551912156495,66.63070553972034,10.012381124085387,38.87498827915859,1,2,28.886001360312907,2.8850281468836507
185,0x43f4c396141d1e66ac06ba4f7d806e1fcba064e0,0.0,205.0005336548281,0.0,28.864768013820548,0,2,28.864768013820548,0.0
186,0xc0a7eefe35106cec35934fbf62f896b3a92c4191,330.22488008929173,297.46999999999997,6.025395843421371,33.20948128071284,1,1,27.55882589980319,4.573778489572994
187,0x43e9a5cb6e17f96a4696426113d54b0d0abb1665,0.0,577.7625,0.0,27.1921627559355,0,2,27.1921627559355,0.0
188,0xbbd7f281dca9e8d2e3249647af5fda9c56d79d7f,598.1667586264618,710.8445811523941,68.89208019631702,95.65853754623569,6,7,26.76645734991866,0.3885273499311405
189,0xe48c6fb9e9a9eb2a9644b2a41c6f80ba1d9f1206,0.0,164.73323676690896,0.0,26.664446161477194,0,2,26.664446161477194,0.0
190,0x81d86b10d444caec671a0c9e6359bc7b1e8d25a1,1546.2616996447882,2675.036182537864,134.8819658967674,161.3214476189172,13,3,26.439481722149793,0.19601939774799385
191,0x310cdc46c54409463a22b700bfeb39ca759cde83,0.0,329.85699459016695,0.0,26.434641799709656,0,2,26.434641799709656,0.0
192,0x42f446852d8836220a1048114b9028f74a96e658,220.97721977907116,213.56221369794278,103.36117282638406,129.52096604724142,4,4,26.244626467103217,0.2539118486124994
193,0x7cd7e4c5a3419f4a70e6efa11c1d9da0cb6ca2b8,453.4709652667568,387.09,3.162856816265018,28.45543153281774,1,1,26.052022883000777,8.236864454005008
194,0x589e9575301b4ecd6465b1b3ab7d1a7cc90311fc,255.66590316340327,248.05345089671295,92.93823432573005,118.85023724563285,6,4,25.999095099006848,0.2797459548013919
195,0xd93e8080eb6d2b861d139753c4be9406cb7e6b5b,301.1651479240674,270.875,6.025395843421371,31.59420738433803,1,1,25.91535361378244,4.3010209266296195
196,0x0d4acda2503b68e8580cc4b825e7c57a0bb2afc3,981.8795771468298,952.644112737283,105.96494124540914,131.3683798271433,1,1,25.73791428198744,0.24289084653366444
197,0xa7565c7cdbe6ce5ebafe9ceb7108532aa0c18fff,322.5776222024516,321.8680855368206,6.025395843421371,31.74784577260335,1,2,25.73056756226513,4.270353057444051
198,0x72133eda8b30b05901b63c7ac558d6b2663ad5fc,0.0,314.9729867264736,0.0,25.67342335796054,0,2,25.67342335796054,0.0
199,0xb8db56d8e947e645489ecc747f1a1997da517f49,444.5264082539733,436.4165458073862,3.162856816265018,28.437752261185828,1,2,25.367678370575113,8.020495344626925
200,0xf57104ecbb30a923ff0c97ae772882f0521329a3,281.8168235484659,287.6497236285028,6.025395843421371,31.279176687390333,1,2,25.25378084396896,4.191223531237615
201,0x9e89881183d42cfae3840a0f7b90b8331234fb74,359.54705317640844,410.95643342568377,123.40907184075697,148.49599379862408,3,6,25.08692195786711,0.20328264027654672
202,0xfb292f9d524bb8f1dd3610c6c117bddd1d0a4e88,421.6080047385873,409.05462639749595,21.20794772547217,46.096437929020475,1,1,25.03211029291517,1.1803174270771106
203,0x1b24dec9c8e945b65bbd349c177ae306bb8bdc64,275.78045835576467,248.22,6.025395843421371,30.573995279619258,1,1,24.863911807457352,4.126519228542336
204,0x517f33413bf473786fabb2936a5092594fe5c288,1256.8075501345013,1219.3861053292467,89.56395365934233,113.73210428114402,3,2,24.596280094294006,0.27462253606898906
205,0xfd5fbb6c0afc7cfcd94573cafbb6afa484940764,79.85621079490944,71.65875,3.012820391064448,27.383632398695312,1,2,24.46459712427094,8.12016448004305
206,0xa1f4e5c35b3f9aeab2a424cef7cbdcbc0bf75646,2165.342183413919,2100.8691199027694,395.5263744105669,419.08616372794893,5,3,24.297409652851197,0.06143056752930928
207,0x39caa556c5e024b9c9ebd87ee940e1a585df55b8,505.4207501327638,597.6710531506967,39.64734755441161,63.463931089593906,2,3,23.816583535182296,0.600710640289282
208,0xec5980041095ab2167993e582e3b9477737ca4d3,39.279288675712735,69.2055756466594,19.950004884333126,43.52587995832807,1,2,23.575875073994943,1.1817478346839523
209,0x69c8ded5ca604e099eb642c5adae92295d41b79a,678.2916487632847,658.0955149213578,392.80789059329925,415.83069509264993,2,2,23.253863459610695,0.059199074194991166
210,0x4ef46e53088ce58446c56cd84049e79a9a2c0f1c,308.05932201509427,276.78499999999997,6.025395843421371,28.677777111409515,1,1,23.010183032632924,3.818866615669049
