,wallet,buy_amount,sell_amount,buy_volume,sell_volume,buy_times,sell_times,profit,profit_rate
0,0xd3fe8c111579753eed182c371bd713f78ab21a0b,0.0,15186.923934241031,0.0,7769.417273983818,0,28,7769.417273983818,0.0
1,0xdd977ba7ff1cdd98d1b3469d5ee97f59a3220f02,0.0,5677.731456967651,0.0,3373.6636395766773,0,15,3373.6636395766773,0.0
2,0x2b55043f3cfd5acf1e47937448d5105a7359c92f,0.0,5218.188052738608,0.0,1818.9142916899982,0,11,1818.9142916899982,0.0
3,0x5ef89488154a78be8724ed08403575346e02ffe6,0.0,3971.3921135825112,0.0,1720.3371811705813,0,12,1720.3371811705813,0.0
4,0x5e30d53136c38fd388392176dacd5821493b7564,0.0,3240.954226496294,0.0,1431.9023437685803,0,6,1431.9023437685803,0.0
5,0x9ff4fb8e3e174cb4e3859ec1a4d3c42051b278eb,0.0,11226.902885721462,0.0,1335.622017646595,0,25,1335.622017646595,0.0
6,0x86fbf937a5ed1fbb1f2f7464a19ea93fe1799f95,0.0,6594.037681104746,0.0,1201.64715865401,0,6,1201.64715865401,0.0
7,0x664f0be6ee945fbee2006b5bd659301c6a05d0b1,0.0,5792.821109185038,0.0,1134.7134866903618,0,14,1134.7134866903618,0.0
8,0x9875f7c1ea7527cf5f6981380eb2b6fc7b375f4b,0.0,3110.072915819769,0.0,1124.1723707965875,0,4,1124.1723707965875,0.0
9,0x4e3362b1b94d0d5ab16105cde2a86c18dd6a877f,0.0,3153.427866291532,0.0,1034.2921323613111,0,5,1034.2921323613111,0.0
10,0x957ee737c208b95d75fc091a4f42f7a5a5ade4fb,0.0,1246.2476900765423,0.0,873.1824383642071,0,1,873.1824383642071,0.0
11,0x70956ce33a120438a4bfe0489b2b17640ed0d904,0.0,4871.899089518725,0.0,870.2535616298651,0,3,870.2535616298651,0.0
12,0x0005f992eec9ad03160a4ebbe48ef972dfd5a49a,0.0,1995.5086572393093,0.0,853.8548030167866,0,4,853.8548030167866,0.0
13,0xd07f92993e34205955302f0c3a290c86fc7268a6,0.0,4301.04501606459,0.0,850.5735418873546,0,6,850.5735418873546,0.0
14,0x02dd5831505903fa16bcf4b80ff4bda679cae4f9,0.0,2036.5929913728878,0.0,830.6494988062552,0,4,830.6494988062552,0.0
15,0x406d4b7ec68708b12ef2cbb0ae64e413516c89f5,0.0,3381.1662010118416,0.0,815.6843882326295,0,6,815.6843882326295,0.0
16,0x738ad98ddfac25693dbdccc9ce9ae83f5ad8820d,0.0,2882.983917832772,0.0,810.4409044853136,0,4,810.4409044853136,0.0
17,0xb6052404331f4db5b7514f9f680255947bbdb410,0.0,1061.8749628519931,0.0,782.8659167949529,0,1,782.8659167949529,0.0
18,0x4936d553710e2f5ff813489c5fd9239d19d3508a,0.0,944.1334623399779,0.0,779.9780162144971,0,1,779.9780162144971,0.0
19,0xa68ac1097ae6ebd29728b1df92a767b6c43965ee,0.0,1512.5442354394531,0.0,762.1487568987361,0,3,762.1487568987361,0.0
20,0xa7d8bcbc1b0f84649245ed55dd61cfcf168359c1,0.0,2331.5252120318064,0.0,746.4335384471883,0,3,746.4335384471883,0.0
21,0x310097fe0d71b4c517cdab57100b9cbf8499852e,2748.4406679921976,2666.60584710273,468.3142185146257,1193.0094338992687,4,4,725.6314672819504,1.549454273635915
22,0xd7b4d7aa74e82e515a0cab08a5610140f503fe18,0.0,2703.811806001788,0.0,693.0781259697786,0,5,693.0781259697786,0.0
23,0x8b91f945e11b1dbb41dc30b5da532ef6801b4e26,0.0,9064.019523410752,0.0,649.1031011740179,0,6,649.1031011740179,0.0
24,0xd2379d2ea3902a58150e5ea6596ce0e931f071e9,0.0,2359.6829137335953,0.0,633.2418237436952,0,5,633.2418237436952,0.0
25,0x7bf783913a42a467b35ad54080119169ab573bd4,0.0,3495.681717818762,0.0,583.7964110185338,0,11,583.7964110185338,0.0
26,0xfeee0e5294d82ed34152addbd4704cd333985840,0.0,2119.961032004668,0.0,569.0758669262214,0,4,569.0758669262214,0.0
27,0xac5ac95ccd74dfe1f3d6279ddbb8f1c866d1ccac,0.0,4627.436980464621,0.0,539.0533679682746,0,6,539.0533679682746,0.0
28,0xde30e55fcdd1a6b429de56d27229877414e6ea6a,0.0,1310.6097398409079,0.0,503.97897503384314,0,4,503.97897503384314,0.0
29,0xc91208e27b3edb5dea8b746b5671014148fe8275,2305.2795225737223,3482.5140510048864,1031.8934759400372,1533.929089632303,20,23,502.03561369226577,0.4865188368740484
30,0x89f76c1534be2f97245026f74ebec7b17406c578,0.0,2635.1128467066346,0.0,460.1007414152124,0,4,460.1007414152124,0.0
31,0xce7205aac1701d5b3be4bce9fe606815206e7273,1600.9663362001738,1583.9771084899057,597.3994906247797,1035.2534186460155,2,3,438.04829756349955,0.7332585722585309
32,0x2cec625b0d3fbd472c64bfa92ae44d47dd4807af,0.0,1391.6413435745944,0.0,437.6420924813549,0,5,437.6420924813549,0.0
33,0x6634c3ab0f37bdf76d4058b0ddced0268b39bc30,1106.7910535085384,1063.682641839092,38.02739282110654,460.5221595859948,2,2,422.987959415361,11.123243747086121
34,0xde91c80a97f1169516248e66d1d83f4f550dbb92,0.0,880.2339008390884,0.0,409.55700420762184,0,2,409.55700420762184,0.0
35,0xcb5f8a4e5a998499cf7ae29a84a7e13427ff0cab,0.0,1072.1800008944247,0.0,397.59554846255116,0,2,397.59554846255116,0.0
36,0x185e027fef74f847fb0ba68e3b53cbfdc0e18ae0,0.0,2249.4956136728797,0.0,376.1891883395266,0,4,376.1891883395266,0.0
37,0xf78548eaefc0e96283f3f98565d7fe55dc92203d,0.0,1134.7501229681488,0.0,350.3261065694573,0,3,350.3261065694573,0.0
38,0xbaa1b026c6e9e656157c869f79065975902b1e38,0.0,491.14184376045273,0.0,345.6272679732134,0,1,345.6272679732134,0.0
39,0xbe46cd6408552926822ef35357e02610436277c4,0.0,1004.9154739101838,0.0,343.7888238583429,0,4,343.7888238583429,0.0
40,0x72574603a87e13cf4ffc33f57b867940839c3e1f,0.0,1061.8766108539346,0.0,336.6274139388218,0,4,336.6274139388218,0.0
41,0xc2ced9d230bcdaad0349795926994e45a9cedeba,0.0,2285.0994521512093,0.0,330.1735164952414,0,3,330.1735164952414,0.0
42,0x3b224f5304a6aac8cabe98c1cfad730b9da0c92d,1676.0023797183565,1626.0994088622426,239.12787113042378,565.7984982897733,4,4,327.24155467696977,1.3684793542885996
43,0x566a9ea1569bcc1077646f25ccf71481b186ec0d,0.0,1140.7575383964872,0.0,327.194955782489,0,3,327.194955782489,0.0
44,0xfee38d5a07f2b8d05494277a3d15da14d0f3457d,0.0,510.6703435861012,0.0,324.6606737542718,0,3,324.6606737542718,0.0
45,0x6d6717b9c36029960804cb40bd7232612d3bf889,0.0,1155.051160414935,0.0,320.21304364741536,0,2,320.21304364741536,0.0
46,0x5202a0c705c8e6bafdc30cdf478755d75a7a85b6,0.0,880.4476591032401,0.0,318.03995520061534,0,2,318.03995520061534,0.0
47,0xc1db1dc8c1ddbe7524abd194ebc7c48a8b0ebc88,0.0,755.8759098208174,0.0,314.4597164991859,0,2,314.4597164991859,0.0
48,0x6aa41fb389f9fea2e662144ad99701d2150c14a4,0.0,2970.7381911962816,0.0,314.0746105394669,0,4,314.0746105394669,0.0
49,0x104e71cd5a6f6f6feeff9a00e8feb1d6ac5e3b05,0.0,767.6825920875501,0.0,312.98782984106424,0,4,312.98782984106424,0.0
50,0x766b11368eeaa5b0364b01047a67b225d59e7302,0.0,515.4109464704576,0.0,300.4651009700933,0,1,300.4651009700933,0.0
51,0x7f47fcdf3a970251a51ad58bd888796752630339,0.0,1747.3476704259533,0.0,300.0452746189796,0,4,300.0452746189796,0.0
52,0xb605ca06dccb458ed46a290761f4cb0aeb6d5189,0.0,1780.1650650452616,0.0,290.86249303324075,0,4,290.86249303324075,0.0
53,0xdac8e20c030fe3e1a07a22c5388490bcc4236fa4,0.0,1302.3010241877976,0.0,288.94411226760866,0,3,288.94411226760866,0.0
54,0x0376b900565a0c435cfdf0a291c3db064dbabb3f,365.2948061705117,431.1476056240699,42.35842163688876,327.4475640586984,4,4,285.08914242180964,6.730400506083388
55,0x06288911e0d0245f3cbc10e64a29e4c7631ac201,1332.0,1292.3397,241.1639974442664,517.5898408715738,4,3,276.87958708702575,1.148096689477928
56,0x32346f7745ce47d80f3c2e67c176e486c9354db0,0.0,1373.4385149979523,0.0,274.89192880593856,0,2,274.89192880593856,0.0
57,0x9604b792fa76851a401200a1904ba44b7e30a522,2676.9042728102395,2710.7338778355934,207.62684277978545,481.9349625304229,16,15,274.3081197506375,1.3211592300788197
58,0xf4975281c2859b7efb79591d2574399a4f84a5d9,0.0,978.8105515393904,0.0,272.6546430002653,0,3,272.6546430002653,0.0
59,0x055f3a31b9ec8420d23784f8588a278c700f1697,0.0,1790.9191975364588,0.0,256.59606211655904,0,3,256.59606211655904,0.0
60,0x34b30e3a37034fd081b0cae312b9695929d63fcc,0.0,1009.6257260210414,0.0,238.09571544988384,0,1,238.09571544988384,0.0
61,0xa5d1977bb1dbb37d34be598250eb2ef64077edfe,3194.4403358655477,3184.3360041092674,740.5157809015765,978.4618011221198,22,13,238.06162137510108,0.32148082122606697
62,0x977e377117babad8b7fc7dd867460ad232273d7a,0.0,2843.5183478290587,0.0,234.89225879491715,0,2,234.89225879491715,0.0
63,0x6487c13dec75a0d36415938894136d10701a8687,0.0,2756.567093870756,0.0,234.8379697451651,0,2,234.8379697451651,0.0
64,0x99956fd8b3c026c77f2a3104c953c06770f9ca71,0.0,934.3784034973085,0.0,228.31762010742148,0,1,228.31762010742148,0.0
65,0x132809076897e7c8c8976f7fce390fe5b7c34c80,0.0,916.2047422848145,0.0,228.25727639275902,0,1,228.25727639275902,0.0
66,0x48a4b41d61c566a69c78dbeb8a22df506736c74d,0.0,814.9885388483715,0.0,227.61012344129202,0,1,227.61012344129202,0.0
67,0xe1e3835078ad69a4d6670bb85ffde5b32a416815,0.0,1661.224529312697,0.0,225.2493946003178,0,4,225.2493946003178,0.0
68,0xad725195f564571cfddf3a5c437bbb296c495955,0.0,1347.9348730355289,0.0,216.3815662582767,0,4,216.3815662582767,0.0
69,0x7ceb7d962ee7e9fa539bbf98bb07b1fb0dd3e417,0.0,1484.276666397127,0.0,216.35003920385972,0,6,216.35003920385972,0.0
70,0x6dd8de604d25c0c8676a678fc071ad0902608ef4,1385.4732307669549,2243.691298751164,129.66515060122958,337.39970900984395,12,6,207.73455840861436,1.602084734760216
71,0x2d5d4d5f5d51873b73024a9f1e7dc45fcdc4cdf4,378.56777560895665,373.8421351557451,24.127657007450825,231.18222688940523,1,2,207.1086347627988,8.58386849161698
72,0x3931445bf9a6e543415be8d860d63aa83bbfa29c,0.0,262.27665149907574,0.0,197.44776422334212,0,1,197.44776422334212,0.0
73,0xf22bb472fd7a7784b8112efc02642382a35b47ea,0.0,2765.3739646723484,0.0,178.63038266884186,0,4,178.63038266884186,0.0
74,0xbc98b54f7ad402cd4368caa06882dd5d118a52e4,3080.306536041444,3106.3428157611456,359.61216377700896,536.8336528261837,7,9,177.22148904917472,0.49281283254664204
75,0xcf1b2f2ff0f6989126fb8480e3b33d5d5f29bfcc,2819.961466740116,2767.9677134191998,179.96407970785145,352.1931046264795,5,3,172.82387256008133,0.9603242649346395
76,0x846a5d8e8c67f8085841fbd695a6c0d5bb1fb415,0.0,2611.8827586587777,0.0,167.76947904880868,0,2,167.76947904880868,0.0
77,0xa81b48e7ad208b2e76d482f480b839a135f77d6a,2090.000873783455,2022.1412552850177,86.2104843638719,249.90317402062593,3,3,164.46905472823804,1.9077616364392198
78,0xc93adedef5e647c1bf50d72e09e130ae0c4b5e35,505.7866208401051,455.8528366976657,22.59936271221758,184.2283362781128,2,1,162.2002536106851,7.177204759096903
79,0xb40d85c74665589e82de953c2905314525a6d3b4,0.0,531.339243407257,0.0,161.32348765487916,0,3,161.32348765487916,0.0
80,0xdf6bbc5e055cc9707698d5df53031e53c5b81f99,0.0,2396.6947733265997,0.0,156.24754660439328,0,4,156.24754660439328,0.0
81,0x92b30a0fb6e1d23e2dd9ef3db662cc5de4259256,0.0,1029.7912638870039,0.0,151.13927387335502,0,4,151.13927387335502,0.0
82,0x6c7f293b0998c5de48ae79c468879961c8c5209c,295.3923904240497,298.61626537387673,4.2385916900099785,155.28746105214123,1,3,151.04886936213126,35.63656997632996
83,0xad95e86ec3e0efe3c06ce606afe9948198b73a33,583.9347595494283,612.9540603289119,81.08018899526287,232.09036370739557,2,5,151.0101747121327,1.8624793131766813
84,0x7f2aaf6cc9a9e5a66d4f638c347a94e51661b0fd,3247.4820301634827,3251.1849074230445,2306.665816164181,2452.9043682102365,3,6,146.23855204605624,0.06339823958081645
85,0xcd458287e38794ae0d91a4837a9cebe13e5574c1,0.0,413.95080899742663,0.0,145.83937136327876,0,1,145.83937136327876,0.0
86,0x703cf27cf00df949299eb47f12f96df366d4e0c0,0.0,238.70021317788422,0.0,143.51753368019953,0,1,143.51753368019953,0.0
87,0x00ac30a1fbec2fbf6b308d67391fa03133d8e653,439.83328065938053,396.4107400262832,15.06410195532224,153.24085441868405,2,1,138.67353898542882,9.205562959990099
88,0x734b16ad50244fdd700fd322fa73dcfa9d717236,277.1280178382752,284.8265595704505,15.06500500735013,146.88342362150325,1,2,131.81841861415313,8.749975094587732
89,0x1095b2d0265097f696f02f4345e6dde3c27f0bca,2493.910011125254,2385.178840544,101.33891389029166,230.88135214691988,4,1,130.78640462261652,1.2905842346426208
